set_name,words
African American names,"['shavonn', 'yolanda', 'torrance', 'jerome', 'shereen', 'latoya', 'lamar', 'latisha', 'marcellus', 'percell', 'aiesha', 'rasaan', 'sharise', 'jermaine', 'temeka', 'jasmine', 'kareem', 'alonzo', 'lionel', 'darnell', 'malik', 'lerone', 'everol', 'alphonse', 'lashelle', 'tashika', 'leroy', 'tyrone', 'tawanda', 'hakim', 'kenya', 'latonya', 'shanise', 'tia', 'malika', 'shaniqua', 'lakisha', 'teretha', 'deion', 'rashaun', 'tanisha', 'jamal', 'tamika', 'jamel', 'terryl', 'wardell', 'aisha', 'rasheed', 'nichelle', 'tameisha', 'tremayne', 'yvette', 'tvree', 'lashandra', 'lavon', 'lamont', 'theo', 'terrence', 'ebony', 'keisha']"
Appearance words,"['sensual', 'thin', 'handsome', 'feeble', 'bald', 'fashionable', 'slim', 'gorgeous', 'fat', 'plump', 'muscular', 'pretty', 'strong', 'weak', 'ugly', 'slender', 'homely', 'healthy', 'blushing', 'athletic', 'voluptuous', 'stout', 'beautiful', 'alluring', 'attractive']"
Arts words,"['shakespeare', 'symphony', 'literature', 'poetry', 'novel', 'dance', 'sculpture', 'drama', 'art']"
Career words,"['business', 'corporation', 'career', 'salary', 'management', 'professional', 'executive', 'office']"
European American names,"['jay', 'melanie', 'justin', 'stephanie', 'adam', 'sue-ellen', 'colleen', 'stephen', 'harry', 'ryan', 'brendan', 'alan', 'frank', 'donna', 'jill', 'roger', 'greg', 'todd', 'jonathan', 'josh', 'amber', 'katie', 'nancy', 'kristen', 'sarah', 'courtney', 'kristin', 'wendy', 'geoffrey', 'matthew', 'peter', 'andrew', 'chip', 'paul', 'heather', 'rachel', 'ellen', 'ian', 'wilbur', 'megan', 'crystal', 'lauren', 'brett', 'meredith', 'peggy', 'bobbie-sue', 'brad', 'fred', 'neil', 'amanda', 'emily', 'carrie', 'laurie', 'brandon', 'betsy', 'shannon', 'anne', 'hank', 'jack', 'jed', 'sara', 'allison']"
Family words,"['children', 'cousins', 'marriage', 'relatives', 'parents', 'family', 'wedding', 'home']"
Female attributes,"['female', 'her', 'girl', 'she', 'woman', 'daughter', 'mother', 'aunt', 'grandmother', 'hers', 'sister']"
Female names,"['sarah', 'kate', 'joan', 'lisa', 'ann', 'diana', 'amy', 'donna']"
Flowers,"['bluebell', 'rose', 'azalea', 'pansy', 'daisy', 'lilac', 'peony', 'tulip', 'petunia', 'aster', 'zinnia', 'iris', 'crocus', 'buttercup', 'hyacinth', 'poppy', 'daffodil', 'magnolia', 'orchid', 'marigold', 'gladiola', 'lily', 'carnation', 'violet', 'clover']"
Insects,"['cricket', 'centipede', 'weevil', 'bee', 'wasp', 'mosquito', 'flea', 'gnat', 'dragonfly', 'moth', 'locust', 'fly', 'tarantula', 'caterpillar', 'beetle', 'roach', 'blackfly', 'maggot', 'hornet', 'termite', 'cockroach', 'bedbug', 'ant', 'spider', 'horsefly']"
